https://www.weathergraphics.com/identifiers/,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
StationID,url,name,province,latitude,longitude,elevation,climateid,wmoid,tcid,_Tagz,_Flgz
8400416,https://climate.weather.gc.ca/climate_data/daily_data_e.html?hlyRange=2022-10-26%7C2026-03-25&dlyRange=2022-10-26%7C2026-03-25&mlyRange=%7C&climate_id=8400416&Prov=NL&urlExtension=_e.html&searchType=stnProv&optLimit=specDate&StartYear=1840&EndYear=2026&selRowPerPage=100&Line=871&Month=3&Day=25&lstProvince=&Apply=Apply&timeframe=2,ST ALBAN'S, NEWFOUNDLAND AND LABRADOR ,"47°51'27.828"" N","55°51'40.043"" W",185.20 m,8400416,73051,AAB                 ,CAAB                 ,
8205092,https://climate.weather.gc.ca/climate_data/daily_data_e.html?hlyRange=2008-06-26%7C2026-03-25&dlyRange=2008-07-02%7C2026-03-25&mlyRange=%7C&climate_id=8205092&Prov=NS&urlExtension=_e.html&searchType=stnProv&optLimit=specDate&StartYear=1840&EndYear=2026&selRowPerPage=100&Line=850&Month=3&Day=25&lstProvince=&Apply=Apply&timeframe=2,SHEARWATER RCS, NOVA SCOTIA ,"44°38'09.310"" N","63°30'53.600"" W",45.30 m,8205092,71264,AAW                 ,CAAW                 ,
8200573,https://climate.weather.gc.ca/climate_data/daily_data_e.html?hlyRange=2004-01-17%7C2026-03-25&dlyRange=2018-05-14%7C2026-03-25&mlyRange=%7C&climate_id=8200573&Prov=NS&urlExtension=_e.html&searchType=stnProv&optLimit=specDate&StartYear=1840&EndYear=2026&selRowPerPage=100&Line=61&Month=3&Day=25&lstProvince=&Apply=Apply&timeframe=2,BEDFORD BASIN, NOVA SCOTIA ,"44°42'28.008"" N","63°38'03.001"" W",3.50 m,8200573,71329,ABB                 ,CABB                 ,
8400801,https://climate.weather.gc.ca/climate_data/daily_data_e.html?hlyRange=2006-01-23%7C2026-03-25&dlyRange=2006-08-01%7C2026-03-25&mlyRange=2006-08-01%7C2007-07-01&climate_id=8400801&Prov=NL&urlExtension=_e.html&searchType=stnProv&optLimit=specDate&StartYear=1840&EndYear=2026&selRowPerPage=100&Line=98&Month=3&Day=25&lstProvince=&Apply=Apply&timeframe=2,BURGEO NL, NEWFOUNDLAND AND LABRADOR ,"47°37'00.000"" N","57°37'00.000"" W",10.60 m,8400801,71152,ABF                 ,CABF                 ,
8404242,https://climate.weather.gc.ca/climate_data/daily_data_e.html?hlyRange=2018-12-11%7C2026-03-25&dlyRange=2018-12-10%7C2026-03-25&mlyRange=%7C&climate_id=8404242&Prov=NL&urlExtension=_e.html&searchType=stnProv&optLimit=specDate&StartYear=1840&EndYear=2026&selRowPerPage=100&Line=1038&Month=3&Day=25&lstProvince=&Apply=Apply&timeframe=2,WINTERLAND BRANCH HILL, NEWFOUNDLAND AND LABRADOR ,"47°08'10.000"" N","55°19'41.000"" W",29.30 m,8404242,73080,ABH                 ,CABH                 ,
8200574,https://climate.weather.gc.ca/climate_data/daily_data_e.html?hlyRange=2004-09-24%7C2026-03-25&dlyRange=2018-05-14%7C2026-03-25&mlyRange=%7C&climate_id=8200574&Prov=NS&urlExtension=_e.html&searchType=stnProv&optLimit=specDate&StartYear=1840&EndYear=2026&selRowPerPage=100&Line=62&Month=3&Day=25&lstProvince=&Apply=Apply&timeframe=2,BEDFORD RANGE, NOVA SCOTIA ,"44°44'45.090"" N","63°39'42.080"" W",9.60 m,8200574,71325,ABR                 ,CABR                 ,
8401295,https://climate.weather.gc.ca/climate_data/daily_data_e.html?hlyRange=2012-10-17%7C2026-03-25&dlyRange=2012-10-17%7C2026-03-25&mlyRange=%7C&climate_id=8401295&Prov=NL&urlExtension=_e.html&searchType=stnProv&optLimit=specDate&StartYear=1840&EndYear=2026&selRowPerPage=100&Line=191&Month=3&Day=25&lstProvince=&Apply=Apply&timeframe=2,CORMACK RCS, NEWFOUNDLAND AND LABRADOR ,"49°19'19.031"" N","57°23'36.010"" W",165.80 m,8401295,71367,ACM                 ,CACM                 ,
8200255,https://climate.weather.gc.ca/climate_data/daily_data_e.html?hlyRange=2007-06-07%7C2026-03-25&dlyRange=2007-06-01%7C2026-03-25&mlyRange=2007-06-01%7C2007-07-01&climate_id=8200255&Prov=NS&urlExtension=_e.html&searchType=stnProv&optLimit=specDate&StartYear=1840&EndYear=2026&selRowPerPage=100&Line=29&Month=3&Day=25&lstProvince=&Apply=Apply&timeframe=2,BACCARO PT, NOVA SCOTIA ,"43°27'03.000"" N","65°28'18.000"" W",4.60 m,8200255,71920,ACP                 ,CACP                 ,
8100989,https://climate.weather.gc.ca/climate_data/daily_data_e.html?hlyRange=1994-02-01%7C2026-03-25&dlyRange=2005-09-01%7C2026-03-25&mlyRange=2005-09-01%7C2007-07-01&climate_id=8100989&Prov=NB&urlExtension=_e.html&searchType=stnProv&optLimit=specDate&StartYear=1840&EndYear=2026&selRowPerPage=100&Line=585&Month=3&Day=25&lstProvince=&Apply=Apply&timeframe=2,MIRAMICHI RCS, NEW BRUNSWICK ,"47°00'34.000"" N","65°27'54.000"" W",33.00 m,8100989,71744,ACQ                 ,CACQ                 ,
8401405,https://climate.weather.gc.ca/climate_data/daily_data_e.html?hlyRange=2018-07-19%7C2026-03-25&dlyRange=2018-07-19%7C2026-03-25&mlyRange=%7C&climate_id=8401405&Prov=NL&urlExtension=_e.html&searchType=stnProv&optLimit=specDate&StartYear=1840&EndYear=2026&selRowPerPage=100&Line=206&Month=3&Day=25&lstProvince=&Apply=Apply&timeframe=2,DANIEL'S HARBOUR, NEWFOUNDLAND AND LABRADOR ,"50°14'09.000"" N","57°34'51.000"" W",19.00 m,8401405,73024,ADL                 ,CADL                 ,
8101201,https://climate.weather.gc.ca/climate_data/daily_data_e.html?hlyRange=2013-05-22%7C2026-03-25&dlyRange=2013-05-23%7C2026-03-25&mlyRange=%7C&climate_id=8101201&Prov=NB&urlExtension=_e.html&searchType=stnProv&optLimit=specDate&StartYear=1840&EndYear=2026&selRowPerPage=100&Line=227&Month=3&Day=25&lstProvince=&Apply=Apply&timeframe=2,DOAKTOWN AUTO RCS, NEW BRUNSWICK ,"46°35'06.090"" N","66°00'35.071"" W",43.00 m,8101201,71038,ADN                 ,CADN                 ,
8403619,https://climate.weather.gc.ca/climate_data/daily_data_e.html?hlyRange=2006-01-23%7C2026-03-25&dlyRange=2006-12-01%7C2026-03-25&mlyRange=2006-12-01%7C2007-07-01&climate_id=8403619&Prov=NL&urlExtension=_e.html&searchType=stnProv&optLimit=specDate&StartYear=1840&EndYear=2026&selRowPerPage=100&Line=877&Month=3&Day=25&lstProvince=&Apply=Apply&timeframe=2,ST LAWRENCE, NEWFOUNDLAND AND LABRADOR ,"46°55'00.000"" N","55°23'00.000"" W",48.50 m,8403619,71110,ADS                 ,CADS                 ,
8201780,https://climate.weather.gc.ca/climate_data/daily_data_e.html?hlyRange=2011-12-01%7C2026-03-25&dlyRange=2011-12-01%7C2026-03-25&mlyRange=%7C&climate_id=8201780&Prov=NS&urlExtension=_e.html&searchType=stnProv&optLimit=specDate&StartYear=1840&EndYear=2026&selRowPerPage=100&Line=260&Month=3&Day=25&lstProvince=&Apply=Apply&timeframe=2,ESKASONI FIRST NATION AUTOMATIC WEATHER STATION, NOVA SCOTIA ,"45°55'14.000"" N","60°38'49.000"" W",28.00 m,8201780,71175,AEI                 ,CAEI                 ,
8101605,https://climate.weather.gc.ca/climate_data/daily_data_e.html?hlyRange=2004-12-30%7C2026-03-25&dlyRange=2000-06-01%7C2026-03-25&mlyRange=2000-06-01%7C2007-07-01&climate_id=8101605&Prov=NB&urlExtension=_e.html&searchType=stnProv&optLimit=specDate&StartYear=1840&EndYear=2026&selRowPerPage=100&Line=313&Month=3&Day=25&lstProvince=&Apply=Apply&timeframe=2,FREDERICTON CDA CS, NEW BRUNSWICK ,"45°55'13.000"" N","66°36'32.010"" W",35.10 m,8101605,71668,AFC                 ,CAFC                 ,
8501136,https://climate.weather.gc.ca/climate_data/daily_data_e.html?hlyRange=2023-12-01%7C2026-03-25&dlyRange=2023-12-01%7C2026-03-25&mlyRange=%7C&climate_id=8501136&Prov=NL&urlExtension=_e.html&searchType=stnProv&optLimit=specDate&StartYear=1840&EndYear=2026&selRowPerPage=100&Line=168&Month=3&Day=25&lstProvince=&Apply=Apply&timeframe=2,CHURCHILL FALLS, NEWFOUNDLAND AND LABRADOR ,"53°33'28.800"" N","64°05'38.400"" W",439.50 m,8501136,73122,AFL                 ,CAFL                 ,
8101746,https://climate.weather.gc.ca/climate_data/daily_data_e.html?hlyRange=2005-05-03%7C2026-03-25&dlyRange=1993-07-01%7C2026-03-25&mlyRange=1993-01-01%7C2007-07-01&climate_id=8101746&Prov=NB&urlExtension=_e.html&searchType=stnProv&optLimit=specDate&StartYear=1840&EndYear=2026&selRowPerPage=100&Line=317&Month=3&Day=25&lstProvince=&Apply=Apply&timeframe=2,FUNDY PARK (ALMA) CS, NEW BRUNSWICK ,"45°36'00.000"" N","64°57'00.000"" W",42.70 m,8101746,71191,AFY                 ,CAFY                 ,
